sasdate,PC1,PC2,cluster
1959-03-01,0.14525429482604404,1.0942713027877176,0
1959-04-01,0.07592918513454568,0.13049486348058573,0
1959-05-01,0.1339446488009671,0.23870843229025016,0
1959-06-01,0.17120395441352776,1.1712324586775065,0
1959-07-01,-0.04445543574869242,-0.1611125139614346,0
1959-08-01,-0.02649770005272136,0.34275751162416984,0
1959-09-01,0.2607891394025975,0.9066408670320935,0
1959-10-01,-0.150784541784166,0.14001192584652697,0
1959-11-01,-0.12589646110305613,0.07249766768304189,0
1959-12-01,0.16774242977462553,0.48247481456279667,0
1960-01-01,0.029742955530266853,0.40240391313833573,0
1960-02-01,0.1701676781816047,0.3291614544069419,0
1960-03-01,-0.25739674843273064,-0.025307794849177064,0
1960-04-01,0.10165837300195182,0.6212507705370175,0
1960-05-01,-0.4011423775298466,0.026716388089303086,0
1960-06-01,-0.30465011270502057,-0.43754177558339846,0
1960-07-01,-0.1738849338262454,0.5978834916593817,0
1960-08-01,0.07767472521422922,0.14995911810291465,0
1960-09-01,-0.06011638034040806,0.11891573086585695,0
1960-10-01,0.15056070515654127,0.8513368760756228,0
1960-11-01,-0.3715870583055089,0.3187303038493545,0
1960-12-01,-0.27171921277465116,-0.612611575660478,0
1961-01-01,-0.08799813888219801,-0.09162307018325613,0
1961-02-01,0.6961872172048456,4.190459229534661,0
1961-03-01,-0.6587947288834826,-3.1767740534254423,0
1961-04-01,-0.03177703149486107,0.08284835715044998,0
1961-05-01,0.4505851952446996,2.895146198711609,0
1961-06-01,-0.14527893398140793,-1.2751301776178536,0
1961-07-01,-0.15652890565640307,-0.7232811397844421,0
1961-08-01,1.2580906067332072,4.84354561844253,0
1961-09-01,-0.531710903270867,-2.3511660837965374,0
1961-10-01,0.1400487276068558,1.3670341946214097,0
1961-11-01,-0.36341748462632817,-0.03499240141457366,0
1961-12-01,-0.07983860445220085,-0.6335812366257777,0
1962-01-01,0.03667046172789919,0.5308787270961255,0
1962-02-01,0.5263428524749825,1.3491918444948379,0
1962-03-01,-0.037156637473928125,0.6057861704344883,0
1962-04-01,-0.24291942360156651,-0.6827300431606539,0
1962-05-01,-0.3576564236245939,-0.3834076102882565,0
1962-06-01,0.24334766321467963,1.699628809625962,0
1962-07-01,0.015740738342154944,-0.03446032445909474,0
1962-08-01,-0.19767975686006328,0.46920376333365327,0
1962-09-01,-0.06303890668093912,-0.03585388644792514,0
1962-10-01,-0.04672988407104817,0.3428801091092785,0
1962-11-01,0.2023121104824729,0.5325742228388647,0
1962-12-01,-0.08183425187865208,0.20762951006641459,0
1963-01-01,-0.02596024941663542,0.31558393441293314,0
1963-02-01,0.31787975068035584,0.7308362157401584,0
1963-03-01,-0.015538732612212197,0.21893283177279746,0
1963-04-01,0.040376473024994565,0.3080620760828207,0
1963-05-01,-0.39391904122421045,0.322363110296591,0
1963-06-01,0.03144696837908532,0.2637898796028047,0
1963-07-01,0.04630942927319613,0.4479257478725126,0
1963-08-01,0.368871001215123,1.100344003716053,0
1963-09-01,-0.03208516101417039,-0.2021069638799153,0
1963-10-01,0.04947815109612757,0.4234933004146281,0
1963-11-01,-0.13232808597158605,0.24390321536260665,0
1963-12-01,0.004005476691395524,0.25805617344219933,0
1964-01-01,0.08922675808775751,0.6551526024525821,0
1964-02-01,0.27257256854917417,0.39103731707600264,0
1964-03-01,0.06327175974786729,0.36791865723851136,0
1964-04-01,0.028035055761135682,0.48050863629431934,0
1964-05-01,-0.07932516268407953,0.2641882892496231,0
1964-06-01,-0.03422561123085093,0.27988060044738305,0
1964-07-01,-0.03840288527100008,0.24959817699061718,0
1964-08-01,0.1710224263943298,0.633260348263366,0
1964-09-01,-0.0007264262928064795,0.19189972981231546,0
1964-10-01,-0.04621805443382153,0.2949964334983897,0
1964-11-01,0.008071137661778683,0.5901399389845755,0
1964-12-01,0.0841589224173102,0.5712070319904959,0
1965-01-01,-0.03999657127839147,0.021081942235158985,0
1965-02-01,0.15994470750092796,0.4833387511933156,0
1965-03-01,0.001500485481794274,0.3368264749463134,0
1965-04-01,0.002497178225484671,0.29976598915092334,0
1965-05-01,0.22522576131187724,0.45201255272774077,0
1965-06-01,-0.010631081837318512,0.28550120357576764,0
1965-07-01,0.02432181682240385,0.4317820023440671,0
1965-08-01,-0.05936553537692798,0.31613701650420417,0
1965-09-01,0.031901033797477774,0.24767669573708298,0
1965-10-01,0.10944118239599242,0.5837438945327827,0
1965-11-01,0.0751792906404807,0.38967747034359196,0
1965-12-01,0.20702689423274312,0.7331017944031529,0
1966-01-01,-0.01846808837744317,0.20468594355959627,0
1966-02-01,0.04678757521270182,0.5330621277642134,0
1966-03-01,0.036564365309814585,0.26256655243074944,0
1966-04-01,-0.09568799276576039,0.17463042120380026,0
1966-05-01,-0.19447712344774928,0.41894298211498554,0
1966-06-01,0.059493073253128144,0.39430237526714434,0
1966-07-01,0.15749636519723667,0.4255267905193202,0
1966-08-01,-0.08682580488050715,0.44220206250599603,0
1966-09-01,-0.029754302066706918,0.03850403039762991,0
1966-10-01,-0.0881816117859617,0.39351403733697027,0
1966-11-01,-0.028607466140519334,0.4513185106707366,0
1966-12-01,-0.3347787940089272,-0.4280893832079633,0
1967-01-01,-0.24824977162908457,-0.026991660630261583,0
1967-02-01,0.4949943224502638,1.0775244179219223,0
1967-03-01,-0.1590824041169315,-0.23818535682778938,0
1967-04-01,0.027395836120621634,0.34335119598369207,0
1967-05-01,0.39712753920029575,1.053059006602365,0
1967-06-01,0.185541462666315,0.6739387942471289,0
1967-07-01,0.06900221152624826,0.21664985871343354,0
